GEOID,year,zori_avg_weighted
18063210616,2018,NA
18063210616,2019,1368.4648887777778
18063210616,2020,1422.3392090833333
18063210616,2021,1546.0810010833334
18063210616,2022,1725.3099579166665
18063210616,2023,1779.9770320833334
18063210617,2015,NA
18063210617,2016,NA
18063210617,2017,NA
18063210617,2018,NA
18063210617,2019,1368.4648887777778
18063210617,2020,1422.3392090833333
18063210617,2021,1546.0810010833334
18063210617,2022,1725.3099579166667
18063210617,2023,1779.9770320833334
18097310104,2015,NA
18097310104,2016,NA
18097310104,2017,NA
18097310104,2018,1081.37887
18097310104,2019,1128.2831465833333
18097310104,2020,1202.278878
18097310104,2021,1291.3894318333332
18097310104,2022,1436.8500314166668
18097310104,2023,1533.9894731666666
18097310105,2015,NA
18097310105,2016,NA
18097310105,2017,NA
18097310105,2018,1081.37887
18097310105,2019,1128.2831465833333
18097310105,2020,1202.278878
18097310105,2021,1291.3894318333332
18097310105,2022,1436.8500314166668
18097310105,2023,1533.9894731666666
18097310106,2015,NA
18097310106,2016,NA
18097310106,2017,NA
18097310106,2018,960.2880131183941
18097310106,2019,1001.9400333460178
18097310106,2020,1067.6498561219644
18097310106,2021,1146.781970741969
18097310106,2022,1275.9541545491943
18097310106,2023,1505.1855584982811
18097310108,2015,NA
18097310108,2016,393.1602967883128
18097310108,2017,397.68777516418066
18097310108,2018,412.6174151140307
18097310108,2019,1229.4341784744342
18097310108,2020,1286.3886003329496
18097310108,2021,1399.3739737273986
18097310108,2022,1557.7605368802272
18097310108,2023,1642.943023993705
18097310110,2015,NA
18097310110,2016,950.2531825750001
18097310110,2017,961.1959221416666
18097310110,2018,997.280282625
18097310110,2019,1032.4330564166667
18097310110,2020,1093.7518626666667
18097310110,2021,1191.49580825
18097310110,2022,1320.34950825
18097310110,2023,1448.7711515
18097310111,2015,NA
18097310111,2016,950.2531825749999
18097310111,2017,961.1959221416666
18097310111,2018,997.280282625
18097310111,2019,1032.4330564166667
18097310111,2020,1093.7518626666667
18097310111,2021,1191.49580825
18097310111,2022,1320.34950825
18097310111,2023,1448.7711515
18097310113,2015,NA
18097310113,2016,NA
18097310113,2017,NA
18097310113,2018,NA
18097310113,2019,1368.4648887777778
18097310113,2020,1422.3392090833333
18097310113,2021,1546.0810010833336
18097310113,2022,1725.3099579166667
18097310113,2023,1779.9770320833334
18097310201,2015,NA
18097310201,2016,NA
18097310201,2017,NA
18097310201,2018,1081.37887
18097310201,2019,1128.2831465833333
18097310201,2020,1202.278878
18097310201,2021,1291.3894318333332
18097310201,2022,1436.8500314166668
18097310201,2023,1533.9894731666666
18097310203,2015,NA
18097310203,2016,NA
18097310203,2017,NA
18097310203,2018,1081.37887
18097310203,2019,1128.2831465833333
18097310203,2020,1202.278878
18097310203,2021,1291.3894318333332
18097310203,2022,1436.8500314166668
18097310203,2023,1533.9894731666666
18097310204,2015,NA
18097310204,2016,NA
18097310204,2017,NA
18097310204,2018,1054.5663319623256
18097310204,2019,1100.3076278966842
18097310204,2020,1172.4686523311118
18097310204,2021,1259.3697306693166
18097310204,2022,1401.2236684549114
18097310204,2023,1527.6115675380433
18097310305,2015,NA
18097310305,2016,950.253182575
18097310305,2017,961.1959221416666
18097310305,2018,997.280282625
18097310305,2019,1032.4330564166667
18097310305,2020,1093.7518626666667
18097310305,2021,1191.49580825
18097310305,2022,1320.34950825
18097310305,2023,1448.7711515
18097310306,2015,NA
18097310306,2016,950.253182575
18097310306,2017,961.1959221416666
18097310306,2018,997.280282625
18097310306,2019,1032.4330564166667
18097310306,2020,1093.7518626666667
18097310306,2021,1191.49580825
18097310306,2022,1320.34950825
18097310306,2023,1448.7711515
18097310308,2015,NA
18097310308,2016,261.72221407839686
18097310308,2017,264.7361035133267
18097310308,2018,274.6745903213471
18097310308,2019,284.3564961086249
18097310308,2020,301.2451464501118
18097310308,2021,328.1661421593887
18097310308,2022,363.65550044262903
18097310308,2023,399.0258600723619
18097310309,2015,NA
18097310309,2016,950.253182575
18097310309,2017,961.1959221416668
18097310309,2018,997.280282625
18097310309,2019,1032.4330564166667
18097310309,2020,1093.7518626666667
18097310309,2021,1191.49580825
18097310309,2022,1320.34950825
18097310309,2023,1448.7711514999999
18097310310,2015,NA
18097310310,2016,950.2531825750001
18097310310,2017,961.1959221416666
18097310310,2018,997.280282625
18097310310,2019,1032.4330564166667
18097310310,2020,1093.7518626666667
18097310310,2021,1191.49580825
18097310310,2022,1320.34950825
18097310310,2023,1448.7711515
18097310311,2015,NA
18097310311,2016,115.12283650711363
18097310311,2017,116.44854552990228
18097310311,2018,120.82015302205468
18097310311,2019,125.07889911646218
18097310311,2020,132.50765077567908
18097310311,2021,144.34929516402832
18097310311,2022,159.9598752814655
18097310311,2023,175.51811187666652
18097310312,2015,NA
18097310312,2016,950.253182575
18097310312,2017,961.1959221416668
18097310312,2018,997.2802826249999
18097310312,2019,1032.4330564166667
18097310312,2020,1093.7518626666667
18097310312,2021,1191.49580825
18097310312,2022,1320.34950825
18097310312,2023,1448.7711515
18097320105,2015,NA
18097320105,2016,NA
18097320105,2017,NA
18097320105,2018,NA
18097320105,2019,NA
18097320105,2020,NA
18097320105,2021,NA
18097320105,2022,NA
18097320105,2023,1276.76159075
18097320106,2015,NA
18097320106,2016,NA
18097320106,2017,NA
18097320106,2018,NA
18097320106,2019,NA
18097320106,2020,NA
18097320106,2021,NA
18097320106,2022,NA
18097320106,2023,1276.76159075
18097320107,2015,NA
18097320107,2016,NA
18097320107,2017,NA
18097320107,2018,NA
18097320107,2019,NA
18097320107,2020,NA
18097320107,2021,NA
18097320107,2022,NA
18097320107,2023,1276.76159075
18097320108,2015,NA
18097320108,2016,NA
18097320108,2017,NA
18097320108,2018,NA
18097320108,2019,NA
18097320108,2020,NA
18097320108,2021,NA
18097320108,2022,NA
18097320108,2023,1276.76159075
18097320109,2015,NA
18097320109,2016,NA
18097320109,2017,NA
18097320109,2018,NA
18097320109,2019,NA
18097320109,2020,NA
18097320109,2021,NA
18097320109,2022,NA
18097320109,2023,1276.76159075
18097320202,2015,NA
18097320202,2016,NA
18097320202,2017,975.0374265
18097320202,2018,1001.4759756833333
18097320202,2019,1029.7229925833333
18097320202,2020,1077.3445079166668
18097320202,2021,1164.0987338333334
18097320202,2022,1275.7509668333332
18097320202,2023,1349.28089325
18097320301,2015,NA
18097320301,2016,NA
18097320301,2017,975.0374265000002
18097320301,2018,1001.4759756833334
18097320301,2019,1029.7229925833333
18097320301,2020,1077.3445079166668
18097320301,2021,1164.0987338333334
18097320301,2022,1275.7509668333332
18097320301,2023,1349.28089325
18097320305,2015,NA
18097320305,2016,NA
18097320305,2017,975.0374265
18097320305,2018,1001.4759756833333
18097320305,2019,1029.7229925833333
18097320305,2020,1077.3445079166668
18097320305,2021,1164.0987338333334
18097320305,2022,1275.7509668333332
18097320305,2023,1349.28089325
18097320306,2015,NA
18097320306,2016,NA
18097320306,2017,975.0374265
18097320306,2018,1001.4759756833333
18097320306,2019,1029.7229925833333
18097320306,2020,1077.3445079166668
18097320306,2021,1164.0987338333334
18097320306,2022,1275.7509668333332
18097320306,2023,1349.28089325
18097320400,2015,NA
18097320400,2016,NA
18097320400,2017,975.0374265
18097320400,2018,1001.4759756833332
18097320400,2019,1029.7229925833333
18097320400,2020,1077.3445079166668
18097320400,2021,1164.0987338333334
18097320400,2022,1275.7509668333332
18097320400,2023,1349.28089325
18097320500,2015,NA
18097320500,2016,NA
18097320500,2017,975.0374265
18097320500,2018,1001.4759756833334
18097320500,2019,1029.7229925833333
18097320500,2020,1077.3445079166668
18097320500,2021,1164.0987338333334
18097320500,2022,1275.7509668333332
18097320500,2023,1349.28089325
18097320600,2015,NA
18097320600,2016,NA
18097320600,2017,975.0374265
18097320600,2018,1001.4759756833333
18097320600,2019,1029.7229925833333
18097320600,2020,1077.3445079166668
18097320600,2021,1164.0987338333334
18097320600,2022,1275.7509668333332
18097320600,2023,1349.28089325
18097320700,2015,NA
18097320700,2016,NA
18097320700,2017,974.3119365731029
18097320700,2018,1000.7308137924757
18097320700,2019,1028.9568131133872
18097320700,2020,1076.5428950072042
18097320700,2021,1163.2325702560631
18097320700,2022,1274.8017268857045
18097320700,2023,1349.2269342715656
18097320800,2015,NA
18097320800,2016,NA
18097320800,2017,85.69415121800598
18097320800,2018,88.0177841064726
18097320800,2019,90.5003597203905
18097320800,2020,94.68572248216063
18097320800,2021,102.31038339511676
18097320800,2022,112.12328193468889
18097320800,2023,1283.135171810336
18097320901,2015,NA
18097320901,2016,NA
18097320901,2017,NA
18097320901,2018,NA
18097320901,2019,NA
18097320901,2020,NA
18097320901,2021,NA
18097320901,2022,NA
18097320901,2023,1276.76159075
18097320902,2015,NA
18097320902,2016,NA
18097320902,2017,NA
18097320902,2018,NA
18097320902,2019,NA
18097320902,2020,NA
18097320902,2021,NA
18097320902,2022,NA
18097320902,2023,1276.76159075
18097320903,2015,NA
18097320903,2016,NA
18097320903,2017,NA
18097320903,2018,2.7152541519121587
18097320903,2019,2.8330269651865034
18097320903,2020,3.0188242121337097
18097320903,2021,3.242573545496539
18097320903,2022,3.607813248171956
18097320903,2023,1277.4074689848128
18097321001,2015,NA
18097321001,2016,NA
18097321001,2017,NA
18097321001,2018,7.525551229334028
18097321001,2019,7.851968312278073
18097321001,2020,8.366920733651135
18097321001,2021,8.987060498308342
18097321001,2022,9.999352512127718
18097321001,2023,29.050222838340446
18097321002,2015,0.1397573420961018
18097321002,2016,0.14473767392561973
18097321002,2017,0.15398386712994008
18097321002,2018,0.1627652885663395
18097321002,2019,0.1745974158393186
18097321002,2020,0.18913952084315658
18097321002,2021,0.2111085323195433
18097321002,2022,0.23923169769823383
18097321002,2023,0.2601137920215548
18097321100,2015,69.02624104732263
18097321100,2016,71.48603013749842
18097321100,2017,76.05273090125984
18097321100,2018,80.38988059025596
18097321100,2019,86.23377585184191
18097321100,2020,93.41613085570397
18097321100,2021,104.26663973771828
18097321100,2022,118.15668918577055
18097321100,2023,204.34283010855702
18097321200,2015,88.41790304218362
18097321200,2016,91.56872496120249
18097321200,2017,912.1332656855838
18097321200,2018,939.7801951874299
18097321200,2019,970.8682696405781
18097321200,2020,1019.859626668554
18097321200,2021,1106.247873248714
18097321200,2022,1217.3336652963496
18097321200,2023,1312.5495877424719
18097321300,2015,NA
18097321300,2016,NA
18097321300,2017,975.0374265000002
18097321300,2018,1001.4759756833334
18097321300,2019,1029.7229925833333
18097321300,2020,1077.3445079166668
18097321300,2021,1164.0987338333334
18097321300,2022,1275.7509668333332
18097321300,2023,1349.28089325
18097321400,2015,NA
18097321400,2016,NA
18097321400,2017,975.0374265
18097321400,2018,1001.4759756833333
18097321400,2019,1029.7229925833333
18097321400,2020,1077.3445079166668
18097321400,2021,1164.0987338333334
18097321400,2022,1275.7509668333332
18097321400,2023,1349.28089325
18097321600,2015,431.0309478661939
18097321600,2016,457.0224752167794
18097321600,2017,874.4193118877228
18097321600,2018,916.427768530837
18097321600,2019,962.4843434635804
18097321600,2020,1023.6148596983508
18097321600,2021,1121.750796842168
18097321600,2022,1238.450364598643
18097321600,2023,1315.8996245765006
18097321700,2015,177.0370052562299
18097321700,2016,190.58933735218446
18097321700,2017,943.3126318268475
18097321700,2018,978.8760829353525
18097321700,2019,1016.966710831598
18097321700,2020,1073.044607306908
18097321700,2021,1165.5905118637004
18097321700,2022,1279.3237254875603
18097321700,2023,1357.1711247814787
18097321800,2015,232.48698975781375
18097321800,2016,241.23872302831523
18097321800,2017,854.9789514850244
18097321800,2018,886.0918480376494
18097321800,2019,923.2146251729932
18097321800,2020,976.724220006565
18097321800,2021,1066.4306309712686
18097321800,2022,1181.2973655281419
18097321800,2023,1260.8693400612517
18097321900,2015,604.3759010358227
18097321900,2016,627.6593137053844
18097321900,2017,667.5455579877388
18097321900,2018,706.5656937558049
18097321900,2019,758.1246348414375
18097321900,2020,821.3598791746776
18097321900,2021,916.0624919280529
18097321900,2022,1036.04283149611
18097321900,2023,1125.2578280182872
18097322000,2015,603.7802669474315
18097322000,2016,626.9163175901989
18097322000,2017,666.7702783830489
18097322000,2018,705.6774877321425
18097322000,2019,757.1577343159908
18097322000,2020,820.3058337091135
18097322000,2021,914.9366056685957
18097322000,2022,1034.9153636704452
18097322000,2023,1124.1200227644133
18097322100,2015,738.8897996
18097322100,2016,795.4524370666667
18097322100,2017,842.6293621833333
18097322100,2018,907.1520223416667
18097322100,2019,976.4827875
18097322100,2020,1059.3982446750001
18097322100,2021,1170.3248873333332
18097322100,2022,1290.6623969166667
18097322100,2023,1382.211927
18097322200,2015,738.8897996
18097322200,2016,795.4524370666667
18097322200,2017,842.6293621833333
18097322200,2018,907.1520223416668
18097322200,2019,976.4827875
18097322200,2020,1059.3982446750001
18097322200,2021,1170.3248873333332
18097322200,2022,1290.6623969166665
18097322200,2023,1382.211927
18097322300,2015,738.8897996
18097322300,2016,795.4524370666667
18097322300,2017,842.6293621833333
18097322300,2018,907.1520223416668
18097322300,2019,976.4827875000001
18097322300,2020,1059.3982446750001
18097322300,2021,1170.3248873333332
18097322300,2022,1290.6623969166667
18097322300,2023,1382.211927
18097322400,2015,738.8897996
18097322400,2016,795.4524370666667
18097322400,2017,842.6293621833333
18097322400,2018,907.1520223416667
18097322400,2019,976.4827875
18097322400,2020,1059.3982446750001
18097322400,2021,1170.3248873333332
18097322400,2022,1290.6623969166665
18097322400,2023,1382.211927
18097322500,2015,738.8897996
18097322500,2016,795.4524370666667
18097322500,2017,842.6293621833333
18097322500,2018,907.1520223416667
18097322500,2019,976.4827875
18097322500,2020,1059.3982446750001
18097322500,2021,1170.3248873333332
18097322500,2022,1290.6623969166667
18097322500,2023,1382.211927
18097322601,2015,691.5934083473938
18097322601,2016,782.0819951893103
18097322601,2017,827.3280659011016
18097322601,2018,888.6130496985243
18097322601,2019,955.3830038961622
18097322601,2020,1035.4677871013405
18097322601,2021,1144.2249230974387
18097322601,2022,1263.1763385547133
18097322601,2023,1352.7936113672242
18097322602,2015,738.3624028399461
18097322602,2016,794.5188948379531
18097322602,2017,841.5030393478053
18097322602,2018,905.6514292430169
18097322602,2019,974.6313619096608
18097322602,2020,1057.1519147110369
18097322602,2021,1167.919300265277
18097322602,2022,1288.2496070543932
18097322602,2023,1379.4420106194148
18097322700,2015,670.7024497296072
18097322700,2016,693.8786452669667
18097322700,2017,720.3058224204103
18097322700,2018,744.6831770374145
18097322700,2019,776.5115272652871
18097322700,2020,817.2275731315544
18097322700,2021,910.8565812073414
18097322700,2022,1030.0616273701958
18097322700,2023,1083.6193009095875
18097330103,2015,NA
18097330103,2016,NA
18097330103,2017,NA
18097330103,2018,NA
18097330103,2019,NA
18097330103,2020,NA
18097330103,2021,NA
18097330103,2022,1171.8334247142857
18097330103,2023,1183.8185559166668
18097330105,2015,NA
18097330105,2016,NA
18097330105,2017,NA
18097330105,2018,NA
18097330105,2019,NA
18097330105,2020,NA
18097330105,2021,NA
18097330105,2022,1171.8334247142857
18097330105,2023,1183.8185559166668
18097330106,2015,NA
18097330106,2016,NA
18097330106,2017,NA
18097330106,2018,NA
18097330106,2019,NA
18097330106,2020,NA
18097330106,2021,NA
18097330106,2022,1171.8334247142857
18097330106,2023,1183.8185559166668
18097330107,2015,NA
18097330107,2016,NA
18097330107,2017,NA
18097330107,2018,NA
18097330107,2019,NA
18097330107,2020,NA
18097330107,2021,NA
18097330107,2022,1171.8334247142857
18097330107,2023,1183.8185559166668
18097330108,2015,NA
18097330108,2016,NA
18097330108,2017,NA
18097330108,2018,NA
18097330108,2019,NA
18097330108,2020,NA
18097330108,2021,NA
18097330108,2022,1171.8334247142857
18097330108,2023,1183.8185559166668
18097330109,2015,NA
18097330109,2016,NA
18097330109,2017,NA
18097330109,2018,NA
18097330109,2019,NA
18097330109,2020,NA
18097330109,2021,NA
18097330109,2022,1171.8334247142857
18097330109,2023,1183.8185559166668
18097330204,2015,936.9659805833334
18097330204,2016,944.719052425
18097330204,2017,991.525798075
18097330204,2018,1022.8456344250002
18097330204,2019,1061.5642730833333
18097330204,2020,1123.3465266666667
18097330204,2021,1236.38211575
18097330204,2022,1384.04780525
18097330204,2023,1472.8939566666666
18097330210,2015,936.9659805833334
18097330210,2016,944.7190524250001
18097330210,2017,991.525798075
18097330210,2018,1022.845634425
18097330210,2019,1061.5642730833333
18097330210,2020,1123.3465266666667
18097330210,2021,1236.38211575
18097330210,2022,1384.04780525
18097330210,2023,1472.8939566666666
18097330211,2015,936.9659805833334
18097330211,2016,944.719052425
18097330211,2017,991.525798075
18097330211,2018,1022.8456344250001
18097330211,2019,1061.5642730833333
18097330211,2020,1123.3465266666667
18097330211,2021,1236.38211575
18097330211,2022,1384.04780525
18097330211,2023,1472.8939566666666
18097330212,2015,936.9659805833332
18097330212,2016,944.719052425
18097330212,2017,991.525798075
18097330212,2018,1022.8456344250001
18097330212,2019,1061.5642730833333
18097330212,2020,1123.3465266666667
18097330212,2021,1236.38211575
18097330212,2022,1384.04780525
18097330212,2023,1472.8939566666666
18097330401,2015,13.23816786152488
18097330401,2016,13.492345222981859
18097330401,2017,476.850515796654
18097330401,2018,489.87544931182856
18097330401,2019,503.9007646777247
18097330401,2020,527.295049566236
18097330401,2021,570.2978249204818
18097330401,2022,1218.4592490748144
18097330401,2023,1260.4613552815183
18097330500,2015,682.4561647416666
18097330500,2016,695.559557075
18097330500,2017,722.1081598416666
18097330500,2018,746.5823537083334
18097330500,2019,778.3725910666667
18097330500,2020,819.031646775
18097330500,2021,912.9171205416667
18097330500,2022,1032.48390135
18097330500,2023,1085.81941675
18097330600,2015,682.4561647416666
18097330600,2016,695.559557075
18097330600,2017,722.1081598416666
18097330600,2018,746.5823537083334
18097330600,2019,778.3725910666667
18097330600,2020,819.031646775
18097330600,2021,912.9171205416666
18097330600,2022,1032.48390135
18097330600,2023,1085.81941675
18097330701,2015,682.4561647416666
18097330701,2016,695.559557075
18097330701,2017,722.1081598416666
18097330701,2018,746.5823537083332
18097330701,2019,778.3725910666667
18097330701,2020,819.0316467749999
18097330701,2021,912.9171205416667
18097330701,2022,1032.48390135
18097330701,2023,1085.81941675
18097330702,2015,897.7461274001415
18097330702,2016,906.3236813289616
18097330702,2017,950.0086558715449
18097330702,2018,980.273581658457
18097330702,2019,1017.9245566556397
18097330702,2020,1076.4517345293102
18097330702,2021,1186.5362990768033
18097330702,2022,1329.8719588298147
18097330702,2023,1413.2459365057173
18097330803,2015,936.9659805833334
18097330803,2016,944.719052425
18097330803,2017,991.525798075
18097330803,2018,1022.8456344250001
18097330803,2019,1061.5642730833333
18097330803,2020,1123.3465266666667
18097330803,2021,1236.38211575
18097330803,2022,1384.04780525
18097330803,2023,1472.8939566666666
18097330804,2015,934.9983009960249
18097330804,2016,942.7927375150506
18097330804,2017,989.4428623522285
18097330804,2018,1020.7097733133514
18097330804,2019,1059.3748467535197
18097330804,2020,1120.9937915656772
18097330804,2021,1233.8813262768101
18097330804,2022,1381.3297760256619
18097330804,2023,1469.901385757595
18097330805,2015,682.4561647416665
18097330805,2016,695.559557075
18097330805,2017,722.1081598416666
18097330805,2018,746.5823537083334
18097330805,2019,778.3725910666666
18097330805,2020,819.031646775
18097330805,2021,912.9171205416667
18097330805,2022,1032.48390135
18097330805,2023,1085.81941675
18097330806,2015,682.4561647416666
18097330806,2016,695.559557075
18097330806,2017,722.1081598416666
18097330806,2018,746.5823537083334
18097330806,2019,778.3725910666667
18097330806,2020,819.0316467749999
18097330806,2021,912.9171205416667
18097330806,2022,1032.48390135
18097330806,2023,1085.81941675
18097330900,2015,682.4561647416666
18097330900,2016,695.559557075
18097330900,2017,722.1081598416666
18097330900,2018,746.5823537083334
18097330900,2019,778.3725910666667
18097330900,2020,819.031646775
18097330900,2021,912.9171205416667
18097330900,2022,1032.48390135
18097330900,2023,1085.81941675
18097331000,2015,671.2321972928548
18097331000,2016,693.954405052994
18097331000,2017,720.3870549376256
18097331000,2018,744.7687741624565
18097331000,2019,776.5954066185653
18097331000,2020,817.3088839014305
18097331000,2021,910.9494510523405
18097331000,2022,1030.170800830417
18097331000,2023,1083.718461558295
18097340101,2015,NA
18097340101,2016,NA
18097340101,2017,NA
18097340101,2018,NA
18097340101,2019,1125.9612606974474
18097340101,2020,1170.2885928109072
18097340101,2021,1272.102285850354
18097340101,2022,1419.570345750515
18097340101,2023,1464.549948992156
18097340102,2015,NA
18097340102,2016,NA
18097340102,2017,NA
18097340102,2018,NA
18097340102,2019,NA
18097340102,2020,852.9860204768848
18097340102,2021,961.1995552571034
18097340102,2022,1047.830327531462
18097340102,2023,1113.8873445471318
18097340108,2015,NA
18097340108,2016,NA
18097340108,2017,NA
18097340108,2018,NA
18097340108,2019,NA
18097340108,2020,772.3316223
18097340108,2021,871.24691625
18097340108,2022,1012.2249411416666
18097340108,2023,1049.45928525
18097340111,2015,NA
18097340111,2016,NA
18097340111,2017,NA
18097340111,2018,NA
18097340111,2019,211.54178074982005
18097340111,2020,959.9365034616318
18097340111,2021,1072.9530050080011
18097340111,2022,1175.8212849219813
18097340111,2023,1241.5842058319163
18097340112,2015,NA
18097340112,2016,NA
18097340112,2017,NA
18097340112,2018,NA
18097340112,2019,109.91565012275102
18097340112,2020,919.3182485078325
18097340112,2021,1031.3926219550303
18097340112,2022,1127.5532476839321
18097340112,2023,1194.290846999653
18097340113,2015,NA
18097340113,2016,NA
18097340113,2017,NA
18097340113,2018,NA
18097340113,2019,1324.2374790681497
18097340113,2020,1404.6622573736977
18097340113,2021,1527.994037842373
18097340113,2022,1704.303842209668
18097340113,2023,1759.3950937106658
18097340114,2015,NA
18097340114,2016,NA
18097340114,2017,NA
18097340114,2018,NA
18097340114,2019,1360.435900819002
18097340114,2020,1419.1301576521882
18097340114,2021,1542.7975166779404
18097340114,2022,1721.4965342687647
18097340114,2023,1776.2406130516208
18097340115,2015,NA
18097340115,2016,NA
18097340115,2017,NA
18097340115,2018,NA
18097340115,2019,NA
18097340115,2020,875.38681205
18097340115,2021,986.4422091583333
18097340115,2022,1075.3480455333333
18097340115,2023,1143.1398265833334
18097340201,2015,NA
18097340201,2016,NA
18097340201,2017,NA
18097340201,2018,NA
18097340201,2019,NA
18097340201,2020,772.3316223
18097340201,2021,871.24691625
18097340201,2022,1012.2249411416665
18097340201,2023,1049.45928525
18097340202,2015,NA
18097340202,2016,NA
18097340202,2017,NA
18097340202,2018,NA
18097340202,2019,NA
18097340202,2020,772.3316223
18097340202,2021,871.2469162499999
18097340202,2022,1012.2249411416666
18097340202,2023,1049.45928525
18097340301,2015,NA
18097340301,2016,NA
18097340301,2017,NA
18097340301,2018,NA
18097340301,2019,NA
18097340301,2020,772.3316223
18097340301,2021,871.24691625
18097340301,2022,1012.2249411416666
18097340301,2023,1049.45928525
18097340302,2015,NA
18097340302,2016,NA
18097340302,2017,NA
18097340302,2018,NA
18097340302,2019,NA
18097340302,2020,772.3316223
18097340302,2021,871.24691625
18097340302,2022,1012.2249411416666
18097340302,2023,1049.45928525
18097340400,2015,NA
18097340400,2016,543.7067935224927
18097340400,2017,554.9999144986825
18097340400,2018,581.1203495237223
18097340400,2019,610.6039310408945
18097340400,2020,678.4041420973213
18097340400,2021,748.4080987991678
18097340400,2022,857.5890111845836
18097340400,2023,922.3402808454362
18097340500,2015,NA
18097340500,2016,563.3491659125
18097340500,2017,575.0502709166667
18097340500,2018,602.1143529916667
18097340500,2019,632.6630811916667
18097340500,2020,675.0108452583332
18097340500,2021,743.9703286166666
18097340500,2022,852.0025139083332
18097340500,2023,917.7478813166668
18097340600,2015,NA
18097340600,2016,563.3491659125
18097340600,2017,575.0502709166667
18097340600,2018,602.1143529916667
18097340600,2019,632.6630811916667
18097340600,2020,675.0108452583333
18097340600,2021,743.9703286166666
18097340600,2022,852.0025139083332
18097340600,2023,917.7478813166667
18097340700,2015,NA
18097340700,2016,559.7130253353064
18097340700,2017,571.3386054868982
